Source Section	Access Type	Data Type	Count
DeltaBlue.ns pos=25960 len=4	read	False	2000
DeltaBlue.ns pos=25960 len=4	read	True	8399
DeltaBlue.ns pos=25960 len=4	read	ALL	10399
DeltaBlue.ns pos=25971 len=6	read	Variable	8399
DeltaBlue.ns pos=25971 len=6	read	ALL	8399
DeltaBlue.ns pos=25978 len=4	read	False	2000
DeltaBlue.ns pos=25978 len=4	read	True	6399
DeltaBlue.ns pos=25978 len=4	read	ALL	8399
DeltaBlue.ns pos=25997 len=4	read	False	4200
DeltaBlue.ns pos=25997 len=4	read	True	6399
DeltaBlue.ns pos=25997 len=4	read	ALL	10599
DeltaBlue.ns pos=26677 len=9	read	False	1500
DeltaBlue.ns pos=26677 len=9	read	True	5398
DeltaBlue.ns pos=26677 len=9	read	ALL	6898
DeltaBlue.ns pos=26788 len=6	read	Variable	3098
DeltaBlue.ns pos=26788 len=6	read	ALL	3098
DeltaBlue.ns pos=26938 len=6	read	Variable	999
DeltaBlue.ns pos=26938 len=6	read	ALL	999
DeltaBlue.ns pos=26962 len=6	read	Variable	999
DeltaBlue.ns pos=26962 len=6	read	ALL	999
DeltaBlue.ns pos=27165 len=6	read	Variable	3698
DeltaBlue.ns pos=27165 len=6	read	ALL	3698
DeltaBlue.ns pos=27172 len=4	read	Integer	3199
DeltaBlue.ns pos=27172 len=4	read	ALL	3199
DeltaBlue.ns pos=27202 len=8	read	Strength	3398
DeltaBlue.ns pos=27202 len=8	read	ALL	3398
DeltaBlue.ns pos=27221 len=6	read	Variable	3398
DeltaBlue.ns pos=27221 len=6	read	ALL	3398
DeltaBlue.ns pos=27228 len=12	read	Strength	2899
DeltaBlue.ns pos=27228 len=12	read	ALL	2899
DeltaBlue.ns pos=27789 len=6	read	Variable	3398
DeltaBlue.ns pos=27789 len=6	read	ALL	3398
DeltaBlue.ns pos=27810 len=8	read	Strength	3398
DeltaBlue.ns pos=27810 len=8	read	ALL	3398
DeltaBlue.ns pos=27826 len=6	read	Variable	3398
DeltaBlue.ns pos=27826 len=6	read	ALL	3398
DeltaBlue.ns pos=27863 len=6	read	Variable	3398
DeltaBlue.ns pos=27863 len=6	read	ALL	3398
DeltaBlue.ns pos=27870 len=4	read	False	500
DeltaBlue.ns pos=27870 len=4	read	True	2399
DeltaBlue.ns pos=27870 len=4	read	ALL	2899
DeltaBlue.ns pos=29378 len=6	read	Vector class	6299
DeltaBlue.ns pos=29378 len=6	read	ALL	6299
DeltaBlue.ns pos=29714 len=11	read	Vector	14599
DeltaBlue.ns pos=29714 len=11	read	ALL	14599
DeltaBlue.ns pos=29850 len=11	read	Vector	999
DeltaBlue.ns pos=29850 len=11	read	ALL	999
DeltaBlue.ns pos=29879 len=12	read	EditConstraint	499
DeltaBlue.ns pos=29879 len=12	read	EqualityConstraint	100
DeltaBlue.ns pos=29879 len=12	read	ScaleConstraint	100
DeltaBlue.ns pos=29879 len=12	read	StayConstraint	100
DeltaBlue.ns pos=29879 len=12	read	Nil	200
DeltaBlue.ns pos=29879 len=12	read	ALL	999
Fannkuch.ns pos=1720 len=15	read	Array	3
Fannkuch.ns pos=1720 len=15	read	ALL	3
Fannkuch.ns pos=1855 len=5	read	Array class	3
Fannkuch.ns pos=1855 len=5	read	ALL	3
Fannkuch.ns pos=2414 len=4	read	Array	20159
Fannkuch.ns pos=2414 len=4	read	ALL	20159
Fannkuch.ns pos=2502 len=4	read	Array	34635
Fannkuch.ns pos=2502 len=4	read	ALL	34635
Fannkuch.ns pos=2545 len=4	read	Array	54767
Fannkuch.ns pos=2545 len=4	read	ALL	54767
Fannkuch.ns pos=2562 len=4	read	Array	54767
Fannkuch.ns pos=2562 len=4	read	ALL	54767
Fannkuch.ns pos=2589 len=4	read	Array	34635
Fannkuch.ns pos=2589 len=4	read	ALL	34635
Fannkuch.ns pos=2620 len=12	read	Array	34635
Fannkuch.ns pos=2620 len=12	read	ALL	34635
Fannkuch.ns pos=2646 len=12	read	Array	34635
Fannkuch.ns pos=2646 len=12	read	ALL	34635
Fannkuch.ns pos=2696 len=12	read	Array	34635
Fannkuch.ns pos=2696 len=12	read	ALL	34635
Fannkuch.ns pos=3053 len=5	read	False	20159
Fannkuch.ns pos=3053 len=5	read	True	4
Fannkuch.ns pos=3053 len=5	read	ALL	20163
Fannkuch.ns pos=3228 len=4	read	Array	20159
Fannkuch.ns pos=3228 len=4	read	ALL	20159
GCBench.ns pos=3567 len=17	read	Integer	4
GCBench.ns pos=3567 len=17	read	ALL	4
GCBench.ns pos=3743 len=19	read	Integer	4
GCBench.ns pos=3743 len=19	read	ALL	4
GCBench.ns pos=3864 len=5	read	Array class	4
GCBench.ns pos=3864 len=5	read	ALL	4
GCBench.ns pos=3875 len=10	read	Integer	4
GCBench.ns pos=3875 len=10	read	ALL	4
GCBench.ns pos=3912 len=10	read	Integer	4
GCBench.ns pos=3912 len=10	read	ALL	4
GCBench.ns pos=3992 len=5	read	Array class	4
GCBench.ns pos=3992 len=5	read	ALL	4
GCBench.ns pos=4005 len=13	read	Integer	4
GCBench.ns pos=4005 len=13	read	ALL	4
GCBench.ns pos=4021 len=13	read	Integer	4
GCBench.ns pos=4021 len=13	read	ALL	4
GCBench.ns pos=4063 len=13	read	Integer	4
GCBench.ns pos=4063 len=13	read	ALL	4
GCBench.ns pos=5124 len=17	read	Integer	19
GCBench.ns pos=5124 len=17	read	ALL	19
GCBench.ns pos=5346 len=4	read	Node	20744
GCBench.ns pos=5346 len=4	read	ALL	20744
GCBench.ns pos=5396 len=5	read	Node	20744
GCBench.ns pos=5396 len=5	read	ALL	20744
Harness.ns pos=2168 len=4	read	Integer	642599
Harness.ns pos=2168 len=4	read	ALL	642599
Harness.ns pos=2207 len=4	read	Integer	642599
Harness.ns pos=2207 len=4	read	ALL	642599
Harness.ns pos=5227 len=6	read	System	1275
Harness.ns pos=5227 len=6	read	ALL	1275
Harness.ns pos=5274 len=15	read	Integer	1275
Harness.ns pos=5274 len=15	read	ALL	1275
Harness.ns pos=5302 len=10	read	Integer	1275
Harness.ns pos=5302 len=10	read	ALL	1275
Harness.ns pos=5406 len=6	read	System	1275
Harness.ns pos=5406 len=6	read	ALL	1275
Harness.ns pos=5464 len=8	read	False	1275
Harness.ns pos=5464 len=8	read	ALL	1275
Harness.ns pos=5532 len=5	read	Integer	1275
Harness.ns pos=5532 len=5	read	ALL	1275
Harness.ns pos=5590 len=13	read	Integer	35
Harness.ns pos=5590 len=13	read	ALL	35
