Name	Executed	Execution Count
Method(IntegerLoop>>#setupVerifiedRun:)	true	1
Method(IntegerLoop>>#verifyResult:)	true	10
Method(Integer>>#%)	false	0
Method(Integer>>#&)	false	0
Method(Integer>>#*)	false	0
Method(Integer>>#+)	false	0
Method(Integer>>#-)	false	0
Method(Integer>>#/)	false	0
Method(Integer>>#//)	false	0
Method(Integer>>#<)	false	0
Method(Integer>>#<<)	false	0
Method(Integer>>#<=)	false	0
Method(Integer>>#=)	false	0
Method(Integer>>#>)	false	0
Method(Integer>>#>=)	false	0
Method(Integer>>#>>>)	false	0
Method(Integer>>#abs)	false	0
Method(Integer>>#as32BitSignedValue)	false	0
Method(Integer>>#as32BitUnsignedValue)	false	0
Method(Integer>>#asString)	true	1
Method(Integer>>#between:and:)	false	0
Method(Integer>>#bitOr:)	false	0
Method(Integer>>#bitXor:)	false	0
Method(Integer>>#compareTo:)	false	0
Method(Integer>>#downTo:by:do:)	true	362200
Method(Integer>>#downTo:do:)	true	362200
Method(Integer>>#fromString:)	false	0
Method(Integer>>#hashcode)	false	0
Method(Integer>>#max:)	true	20160
Method(Integer>>#min:)	false	0
Method(Integer>>#negated)	true	10
Method(Integer>>#negative)	false	0
Method(Integer>>#rem:)	false	0
Method(Integer>>#round)	false	0
Method(Integer>>#sqrt)	false	0
Method(Integer>>#timesRepeat:)	true	440
Method(Integer>>#to:)	true	4
Method(Integer>>#to:by:do:)	true	2236326
Method(Integer>>#to:do:)	true	2236316
Method(Integer>>#~=)	false	0
Method(JenkinsRandom>>#next)	false	0
Method(JsonArray>>#=)	false	0
Method(JsonArray>>#add:)	true	2793
Method(JsonArray>>#addBoolean:)	false	0
Method(JsonArray>>#addDouble:)	false	0
Method(JsonArray>>#addInteger:)	false	0
Method(JsonArray>>#addString:)	false	0
Method(JsonArray>>#asArray)	true	1
Method(JsonArray>>#at:)	false	0
Method(JsonArray>>#at:put:)	false	0
Method(JsonArray>>#at:putBoolean:)	false	0
Method(JsonArray>>#at:putDouble:)	false	0
Method(JsonArray>>#at:putInteger:)	false	0
Method(JsonArray>>#at:putString:)	false	0
Method(JsonArray>>#hashcode)	false	0
Method(JsonArray>>#isArray)	true	1
Method(JsonArray>>#isEmpty)	false	0
Method(JsonArray>>#readFrom:)	false	0
Method(JsonArray>>#removeAt:)	false	0
Method(JsonArray>>#size)	true	1
Method(JsonLiteral>>#=)	false	0
Method(JsonLiteral>>#asBoolean)	false	0
Method(JsonLiteral>>#asString)	false	0
Method(JsonLiteral>>#hashcode)	false	0
Method(JsonLiteral>>#isBoolean)	false	0
Method(JsonNumber>>#=)	false	0
Method(JsonNumber>>#asDouble)	false	0
Method(JsonNumber>>#asInteger)	false	0
Method(JsonNumber>>#asString)	false	0
Method(JsonNumber>>#hashcode)	false	0
Method(JsonNumber>>#isNumber)	false	0
Method(JsonObject>>#=)	false	0
Method(JsonObject>>#add:with:)	true	598
Method(JsonObject>>#add:withBoolean:)	false	0
Method(JsonObject>>#add:withNumber:)	false	0
Method(JsonObject>>#add:withString:)	false	0
Method(JsonObject>>#asObject)	true	3
Method(JsonObject>>#at:)	true	3
Method(JsonObject>>#at:asBooleanWith:)	false	0
Method(JsonObject>>#at:asDoubleWith:)	false	0
Method(JsonObject>>#at:asIntegerWith:)	false	0
Method(JsonObject>>#at:asStringWith:)	false	0
Method(JsonObject>>#at:put:)	false	0
Method(JsonObject>>#at:putBoolean:)	false	0
Method(JsonObject>>#at:putNumber:)	false	0
